X,Y,U,V,absV,
Rectangular zone
-1.09662,0.0846622,1.25033,-0.191215,1.27067,
-1.02773,0.0846622,2.24805,-0.561872,2.31889,
-0.958841,0.0846622,1.61778,-0.560447,1.72977,
-0.889952,0.0846622,2.86485,-1.54681,3.30556,
-0.821062,0.0846622,10.3295,-4.74387,11.3725,
-0.752173,0.0846622,7.70217,-2.39175,8.10258,
-0.683284,0.0846622,21.2182,0.307882,21.7242,
-0.614395,0.0846622,17.9422,-0.0883323,18.3859,
-0.545505,0.0846622,1.70808,0.167292,1.73999,
-0.476616,0.0846622,0.0763261,0.00885613,0.0772778,
-0.407727,0.0846622,0,0,0,
-0.338837,0.0846622,0,0,0,
-0.269948,0.0846622,0,0,0,
-0.201059,0.0846622,0,0,0,
-0.132169,0.0846622,0,0,0,
-0.06328,0.0846622,0,0,0,
0.00560927,0.0846622,0,0,0,
0.0744986,0.0846622,0,0,0,
0.143388,0.0846622,0,0,0,
0.212277,0.0846622,0,0,0,
0.281167,0.0846622,0,0,0,
0.350056,0.0846622,0,0,0,
0.418945,0.0846622,-0.000277814,-7.67895e-005,0.000288231,
0.487834,0.0846622,-0.0736858,-0.0473789,0.0878697,
0.556724,0.0846622,-2.02974,-1.28932,2.4057,
0.625613,0.0846622,-9.9823,-6.37981,11.8483,
0.694502,0.0846622,-5.74354,-3.60686,6.79282,
0.763392,0.0846622,-1.2051,-0.562755,1.34321,
0.832281,0.0846622,-2.19968,-0.83874,2.36944,
0.90117,0.0846622,-1.16814,-0.563838,1.29811,
0.97006,0.0846622,-1.5068,-0.462373,1.58432,
1.03895,0.0846622,-1.58443,-0.53959,1.67829,
1.10784,0.0846622,-1.24847,-0.281056,1.29989,
1.17673,0.0846622,-0.825466,-0.18093,0.915354,
1.24562,0.0846622,-1.49799,-0.553232,1.59708,
1.31451,0.0846622,-0.475851,-0.140154,0.510253,
1.3834,0.0846622,-0.45357,-0.0608788,0.473587,
1.45228,0.0846622,-0.227175,-0.065787,0.267919,
1.52117,0.0846622,-0.131367,-0.0684776,0.153657,
1.59006,0.0846622,-0.281144,-0.0457724,0.305481,
-1.78551,0.126993,0.393671,-0.0540316,0.4375,
-1.71662,0.126993,-0.0176047,0.00228794,0.0207043,
-1.64773,0.126993,0.291501,0.0483914,0.368469,
-1.57884,0.126993,0.407427,0.0389595,0.436464,
-1.50996,0.126993,0.0917453,-0.0709594,0.22669,
-1.44107,0.126993,0.205141,-0.0928005,0.228807,
-1.37218,0.126993,0.708544,-0.268578,0.774269,
-1.30329,0.126993,0.699656,-0.124026,0.717093,
-1.2344,0.126993,0.897061,-0.258874,0.935376,
-1.16551,0.126993,0.78174,-0.243694,0.823743,
-1.09662,0.126993,0.783941,-0.359435,0.862728,
-1.02773,0.126993,4.77033,-1.99162,5.17619,
-0.958841,0.126993,3.18776,-1.38516,3.48253,
-0.889952,0.126993,4.11305,-2.71696,4.96439,
-0.821062,0.126993,3.03277,-1.97243,3.62959,
-0.752173,0.126993,6.53527,-2.94134,7.25936,
-0.683284,0.126993,20.0626,-2.0308,20.7646,
-0.614395,0.126993,16.4833,-0.776822,16.9402,
-0.545505,0.126993,2.30789,-0.221029,2.3854,
-0.476616,0.126993,0.000173646,8.65953e-006,0.000180658,
-0.407727,0.126993,0,0,0,
-0.338837,0.126993,0,0,0,
-0.269948,0.126993,0,0,0,
-0.201059,0.126993,0,0,0,
-0.132169,0.126993,0,0,0,
-0.06328,0.126993,0,0,0,
0.00560927,0.126993,0,0,0,
0.0744986,0.126993,0,0,0,
0.143388,0.126993,0,0,0,
0.212277,0.126993,0,0,0,
0.281167,0.126993,0,0,0,
0.350056,0.126993,0,0,0,
0.418945,0.126993,-0.000838711,-0.000536464,0.000995605,
0.487834,0.126993,-8.53551e-005,-5.62054e-005,0.000102514,
0.556724,0.126993,-2.22914,-1.44849,2.66063,
0.625613,0.126993,-10.3735,-6.6395,12.3166,
0.694502,0.126993,-3.6746,-2.4742,4.43559,
0.763392,0.126993,-3.14717,-2.38667,3.96571,
0.832281,0.126993,-1.41117,-0.642005,1.5662,
0.90117,0.126993,-0.961498,-0.446514,1.0636,
0.97006,0.126993,-1.93394,-0.937096,2.17519,
